carrera,materia,comision,dia,hora_inicio,hora_fin,tipo,aula,docente
IA,Álgebra y Geometría Analítica,Com 1,Lunes,17:00,19:00,Teórico/Práctica,Aula 16 - Pab. Reforma del 18,Ing. Ariel Gerez
IA,Álgebra y Geometría Analítica,Com 1,Miércoles,17:00,19:00,Teórico/Práctica,Aula 16 - Pab. Reforma del 18,Ing. Cristian Romano
IA,Álgebra y Geometría Analítica,Com 2,Lunes,8:00,10:00,Teórico/Práctica,Aula 16 - Pab. Reforma del 18,Lic. Viviana Ledda
IA,Álgebra y Geometría Analítica,Com 2,Viernes,8:00,10:00,Teórico/Práctica,Aula 16 - Pab. Reforma del 18,Lic. Cristian Benites
IA,Análisis Matemático I,Com 1,Miércoles,8:00,10:00,Teórica,Aula 16 - Pab. Reforma del 18,Prof. Lidia de Pablo
IA,Análisis Matemático I,Com 1,Martes,8:00,11:00,Práctica,Aula 22 - Pab. Reforma del 18,Prof. D. Coria
IA,Sistemas de Representación,Com Única,Martes,10:00,12:00,Teórico-Práctica,Aula 20 - Dibujo - Pab. Reforma del 18,Ing. Zerda Martha
IA,Sistemas de Representación,Com Única,Jueves,10:00,12:00,Teórico-Práctica,Aula 20 - Dibujo - Pab. Reforma del 18,Ing. Zerda Martha
LM,Álgebra I,Única,Miércoles,10:00,12:00,Teórico-Práctica,Aula 27 - Pab. Reforma del 18,Prof. Responsable Lic. Miriam Rios
LM,Álgebra I,Única,Jueves,10:00,12:00,Teórico-Práctica,Aula 26 - Pab. Reforma del 18,
LM,Álgebra I,Única,Viernes,10:00,12:00,Teórico-Práctica,Aula 30 - Pab. Reforma del 18,
LM,Análisis Matemático I,Única,Lunes,14:00,17:00,Práctica,Aula 25 - Pab. Reforma del 18,Prof. D. Coria
LM,Análisis Matemático I,Única,Miércoles,8:00,10:00,Teórica,Aula 27 - Pab. Reforma del 18,
LM,Lógica Matemática,Única,Lunes,8:00,10:00,Teórica,Aula 25 - Pab. Reforma del 18,Prof. Adjunta Arias Sonia
LM,Lógica Matemática,Única,Jueves,8:00,10:00,Práctica,Aula 29 - Pab. Reforma del 18,Prof. Asociado Budán Maximiliano
TUV,Elementos de Matemática,Única,Jueves,18:00,20:00,Teórico-Práctica,Aula 24 - Pab. Reforma del 18,Ing. Alejandra B. Lima
TUV,Elementos de Matemática,Única,Martes,18:00,21:00,Teórico-Práctica,Aula 24 - Pab. Reforma del 18,Ing. Alejandra B. Lima
TUV,Elementos de Química,Única,Viernes,14:00,17:00,Teórica,Aula 25 - Pab. Reforma del 18,Dra. Ana Ledesma
TUV,Elementos de Química,Única,Lunes,14:00,16:00,Práctica,Aula 26 - Pab. Reforma del 18,Prof. Pérez Hugo
TUV,Fundamentos de Dibujo,Única,Jueves,15:00,17:30,Teórico-Práctica,Aula 20 - Dibujo - Pab. Reforma del 18,Ing. Tomas Allal / Arq. Martha Zerda / Ing. Mariano Guzmán
TUV,Fundamentos de Dibujo,Única,Martes,15:00,17:30,Teórico-Práctica,Aula 20 - Dibujo - Pab. Reforma del 18,Ing. Tomas Allal / Arq. Martha Zerda / Ing. Mariano Guzmán
TUV,Informática I,Com 1,Lunes,14:00,17:00,Teórico-Práctica,Lab. Dibujo TIPI,Prof. Luciano Galeano
TUV,Informática I,Com 1,Miércoles,16:00,19:00,Teórico-Práctica,Lab. Dibujo TIPI,Prof. Luciano Galeano
TUC,Elementos de Matemática,Única,Jueves,18:00,20:00,Teórico-Práctica,Aula 24 - Pab. Reforma del 18,Ing. Alejandra B. Lima
TUC,Elementos de Matemática,Única,Martes,18:00,21:00,Teórico-Práctica,Aula 24 - Pab. Reforma del 18,Ing. Alejandra B. Lima
TUC,Elementos de Química,Única,Viernes,14:00,17:00,Teórica,Aula 25 - Pab. Reforma del 18,Dra. Ana Ledesma
TUC,Elementos de Química,Única,Lunes,14:00,16:00,Práctica,Aula 26 - Pab. Reforma del 18,Prof. Pérez Hugo
TUC,Fundamentos de Dibujo,Única,Jueves,15:00,17:30,Teórico-Práctica,Aula 20 - Dibujo - Pab. Reforma del 18,Ing. Tomas Allal / Arq. Martha Zerda / Ing. Mariano Guzmán
TUC,Fundamentos de Dibujo,Única,Martes,15:00,17:30,Teórico-Práctica,Aula 20 - Dibujo - Pab. Reforma del 18,Ing. Tomas Allal / Arq. Martha Zerda / Ing. Mariano Guzmán
TUC,Informática I,Com 1,Lunes,14:00,17:00,Teórico-Práctica,Lab. Dibujo TIPI,Prof. Luciano Galeano
TUC,Informática I,Com 1,Miércoles,16:00,19:00,Teórico-Práctica,Lab. Dibujo TIPI,Prof. Luciano Galeano
TUHS,Elementos de Matemática y Estadística,Única,Jueves,18:00,20:00,Teórico-Práctica,Aula 24 - Pab. Reforma del 18,Ing. Alejandra B. Lima
TUHS,Elementos de Matemática y Estadística,Única,Martes,18:00,21:00,Teórico-Práctica,Aula 24 - Pab. Reforma del 18,Ing. Alejandra B. Lima
TUHS,Fundamentos de Dibujo,Única,Jueves,15:00,17:30,Teórico-Práctica,Aula 20 - Dibujo - Pab. Reforma del 18,Ing. Tomas Allal / Arq. Martha Zerda / Ing. Mariano Guzmán
TUHS,Fundamentos de Dibujo,Única,Martes,15:00,17:30,Teórico-Práctica,Aula 20 - Dibujo - Pab. Reforma del 18,Ing. Tomas Allal / Arq. Martha Zerda / Ing. Mariano Guzmán
TUOyCP,Álgebra y Geometría Analítica,Com 1,Lunes,17:00,19:00,Teórico/Práctica,Aula 16 - Pab. Reforma del 18,Ing. Ariel Gerez
TUOyCP,Álgebra y Geometría Analítica,Com 1,Miércoles,17:00,19:00,Teórico/Práctica,Aula 16 - Pab. Reforma del 18,Ing. Cristian Romano
TUOyCP,Análisis Matemático I,Com 1,Miércoles,8:00,10:00,Teórica,Aula 16 - Pab. Reforma del 18,Prof. Lidia de Pablo
TUOyCP,Análisis Matemático I,Com 1,Martes,8:00,11:00,Práctica,Aula 22 - Pab. Reforma del 18,Prof. D. Coria
TUOyCP,Informática General,Com 1,Jueves,10:00,12:00,Teórica,Aula 16 - Pab. Reforma del 18,Prof. Unzaga
TUOyCP,Informática General,Com 1,Viernes,10:00,13:00,Práctica,Aula 22 - Pab. Reforma del 18,Prof. Carlos Galván
TUOyCP,Fundamentos de Dibujo,Única,Jueves,15:00,17:30,Teórico-Práctica,Aula 20 - Dibujo - Pab. Reforma del 18,Ing. Tomas Allal / Arq. Martha Zerda / Ing. Mariano Guzmán
TUOyCP,Fundamentos de Dibujo,Única,Martes,15:00,17:30,Teórico-Práctica,Aula 20 - Dibujo - Pab. Reforma del 18,Ing. Tomas Allal / Arq. Martha Zerda / Ing. Mariano Guzmán
PI,Fundamentos de la Programación (Anual),Com 1,Miércoles,10:00,12:00,Teoría,Aula 30 - Pab. Reforma del 18,Prof. Carmen Silva
PI,Fundamentos de la Programación (Anual),Com 1,Miércoles,8:00,10:00,Práctica,Aula 23 - Pab. Reforma del 18,Prof. Dahia Cejas
PI,Fundamentos de la Programación (Anual),Com 1,Jueves,8:00,10:00,Taller,Lab. Alfa - Pab. Laboratorios N°2,Prof. Dahia Cejas
PI,Lógica,Com 1,Lunes,16:00,18:00,Teórico,Aula 23 - Pab. Reforma del 18,Prof. Villarreal / Prof. Chávez
PI,Lógica,Com 1,Miércoles,16:00,18:00,Práctica,Aula 23 - Pab. Reforma del 18,Prof. Villarreal / Prof. Chávez
PI,Inglés I (PI),Com Mañana,Lunes,10:00,12:30,Teórico-Práctica,Aula 22 - Pab. Reforma del 18,
PI,Inglés I (PI),Com Mañana,Miércoles,10:00,12:30,Teórico-Práctica,Aula 23 - Pab. Reforma del 18,
PI,Inglés I (PI),Com Tarde,Martes,14:30,17:00,Teórico-Práctica,Aula 16 - Pab. Reforma del 18,
PI,Inglés I (PI),Com Tarde,Jueves,14:30,17:00,Teórico-Práctica,Aula 23 - Pab. Reforma del 18,
